текст,inf_gender1,inf_gender2,inf_gender3,inf_gender4,sob_gender1,sob_gender2,sob_gender3,sob_gender4,mean_ul,mean_sl
"[А на ложках как гадали?] А на ложках как: на Новый год наливают воду в ложку: у ково ямкой [нрзб.], у ково горбушкой. Ямкой плохо, горбушкой хорошо.",f,,,,m,f,,,7.0,7.0
"Да и ходили чертитца тожо, выслушают на льду-то на крестах. В Святки-то. Да тожо вот почертятца. Надо взять сковородник, или головёшка там жганая. Это тожо говорили што ""Черти чертитись, бесы бе*ситись, там сатана, уходи от ме*ня, покажись мне мой богосуженой"", - или там послышитца дак, бывает то, если к плохому, дак колотят, чёшут, а так, бывает, што колокольчик зазвенит. ""Ну девки колокольчик туда замуж выйду"". В ту сторону замуж выйдет. [Это ночью гадали?] Да. [А где?] Это ходят до двинадцати часов вот на ростаньях, крестовая дорога; по крестовой дороги. По крестовой дороге*. Только штоб никто не слышал, не видел.",f,,,,f,m,,,32.333333333333336,8.818181818181818
"[Старый веник -] Го*лик. [А что с ним делают?] С го*ликом? Да ничего. Стал худой [нрзб.] дак иво в печць кинули и всё [нрзб.]. Веники - да какие? Те*перь да покупают веники, метёлки. А мы сами делали: лесу нанесём. [А из каких деревьев делают веники?] Берёзовые. да, только берёзовые. А так дак [нрзб.] ломаются, а берёза - та стоит. Вот засохнет лист [нрзб.] зимой в ведро положишь горячей водой обольёшь - сделаитця мяхький, хороший. Так и пашешь.",f,,,,m,f,,,9.0,4.2
"Пойва, где корова-то пьёт, ведро-то.",f,,,,m,f,,,6.0,6.0
По деревенски зыбка. Качельки-то были.,f,,,,m,f,,,5.0,2.5
"[Как тушили пожар от молнии?] Ой я не видела, слыхала так, что от людей-то, что тушат молоком.",f,,,,f,f,,,6.0,12.0
"[У печников были праздники - основочное, подовое, дымовое. До начала работы они] литки пили. Пока договариваиси. Это как договор сщас [договор с хозяевами ]",m,,,,m,f,,,8.0,2.6666666666666665
"[А были специальные люди, которых звали на роды?] Конечно, были, повитухами звали. Конечно, были. [Когда их звали?] До родов, конечно, человек приходит. [...] Все говорили: пуповину перевязала.",f,,,,f,f,,,3.75,3.75
"Если маленький живот, то парень, а если женщина полная такая она из себя, это девку носит.",f,,,,f,f,,,16.0,16.0
Пекли. Специальный [хлеб на свадьбу]. У жениха. Гозьбу делал жених.,m,,,,m,m,,,7.0,1.75
"Кто больше откусит [от каравая: жених или невеста], тот больше верх будет иметь. Такой был обычай.",f,,,,m,m,,,11.0,5.5
Первое дело было сватовство. Родители жениха к невесте к родителям договаривались што как почём. На каких условиях.,m,,,,m,m,,,18.0,6.0
"... Хто хлеб пекёт? Свекрова. Ты жених, у тебя есть мать, она и пекёт. А раньше звали матушко да батюшко. Вот как звали. у нас почитают денька да денька, а родня: дядя - так дядя, свекровку - матушка, свекра - батюшка, золовку - сестрица.",f,,,,m,m,,,41.0,5.857142857142857
"[Когда жених и невеста едут от венца,] косно вить брали: поедут записывацы... [дефект записи]. [Что такое косно?] А это косно: загородят дорогу и вот и выкупай, а то не пропустят!",f,,,,m,m,,,6.5,13.0
"Молодые пойдут за водой, они [жители села] придут, перевёрнут бачок ли там што [сосуд, в котором несут воду]. Вот они и бегают снова. [Кто перевернет?] А кто попадёт встрету [нрзб.]. Вот нё... несли оне туда [?] по деревне с колотца. А оне возьмут... а раньше у нас река, дак далёко носили-то. [На них выливали?] [...] Не на них. Сбросят. [?] Дак шутят дак. Смеютца... выбьют [?], дак раз десять иногда збегают к колоцу да вот. [нрзб.] начерпают [нрзб.] оне бросят, не пойдут боле за водой. [Смеется.]",f,,,,m,m,,,5.181818181818182,3.5625
"Горшки били, когда молодые в баню пойдут первый раз.",f,,,,f,f,,,9.0,9.0
В положении [беременным] не велели к покойнику подходить.,f,,,,m,m,,,7.0,7.0
У меня мамонька убраласи.,f,,,,m,m,,,4.0,4.0
"На крышу залезут, чем-нибудь колонут [постучат] над йим [человеком, который тяжело умирает], так он и помрет. Колонут жолобинку [доску тесовой крыши], так он и затихнёт.",f,,,,m,m,,,18.0,9.0
"Лазали на крышу и стучали там [, чтобы облегчить агонию].",m,,,,m,m,,,6.0,6.0
"Все веники, листья березовые.",f,,,,m,m,,,4.0,4.0
"Деньги [в могилу] опускали, медяки кидают, а серебра не кидают. Землю покупают.",f,,,,m,m,,,10.0,5.0
"А время от Рождества до Крещения Святками называлось. Наряжёные ходили. А день накануне Рождества Сочельник назывался. Сперва рождественский, а потом крещенский сочельник.",f,,,,m,m,,,23.0,5.75
Двери в Новый год примораживают.,m,,,,m,m,,,5.0,5.0
Накануне Иванадня двенадцать цветков рвали. Лягут спать - в голову кладут: какая судьба пришавитца [приснится].,f,,,,m,m,,,13.0,6.5
[Когда дом собираются строить] Богатые золотые клали всегда. Под углами [в снесенном доме] нашли двадцать золотых монет: четыре угла по пять монет.,f,,,,f,f,,,15.0,7.5
"Говорят, как невесту сватают - надо место подгадать.",f,,,,f,,,,7.0,7.0
"Залог оставляли, какие-то платки оставляли, полотенца.",f,,,,f,f,,,6.0,6.0
"Как не приходили. Как тут назывались... когда приходили [сваты] уже на второй день... Да, сговор да ещё как-то иначе.",m,,,,m,f,,,18.0,4.5
"Смотренье, это што? Когды ходили смотреть у жениха место?",f,,,,f,m,,,9.0,4.5
"[Невеста причитала?] Причитала. Жалко родителей, да жалко с домом расстатцы, да жалко с подругами расстатцы. Причитала она перед свадьбой. По гостям. К тётушкам водили да к божатушкам. Ходила по гостям и причитала, когда подружкам своим красоту сдавала. Ну, передавала, што она уж теперь в бабью стаю перешла, а вам отдаваю свою красну красоту. Причёты такие.",f,,,,f,m,,,27.5,6.875
"[Когда невесте по-бабьи волосы заплетали?] Наверно, после веньца, тут баню топили да невесту-то в бане вымоют, вот косу-то и расплетут.",f,,,,m,m,,,7.5,15.0
"Она дарила и свекровке, деверю, божату, божатке. Вот раньше дарили. Кому вот полотенца хорошие, кому на рубаху, кому на сарафан, старухам, кому чево.",f,,,,f,m,,,23.0,7.666666666666667
[Заставы делали на дороге свадебного поезда?] Обязательно. Натягивают платки. Им дают за это конфеты. В каждой деревне запруды делали. Это называеца запруда.,f,,,,f,m,,,8.0,3.2
"Пришли сваты, так гоуорят: - Где у тебя невеста? - Манька! - А? - Хер на! Где? - Я, - гоуорит, - серу! - Подтирай пизду да иди в избу, сваты пришли.",m,,,,m,f,,,24.0,3.4285714285714284
"Сватали меня как севодня песню-то по радио спели, что приданово везли, а меня забыли.",f,,,,f,f,,,14.0,14.0
"Петров день двенадцатого августа, старый новый календарь... по новому стилю, ой июля, я пе*ре*путала...
А Иванов день - время такое, сенокос, дак я уж худо запомнила, как праздновали, но праздновали, гулянья были, у каво родня ходили там, попьют, посидят, и выйдут на улицу, гуляли. А вечером парни да девки ходили по улице. А дальше, чево в деревне?* Там часовня ещё старая, ходили молиться
[А венки не заплетали?] Это наверное всё на Украине, а у нас другой был обычай... [Какой?] А вот я и не знаю.
[Травы собирали?] Ну, кто верил человек, может быть и делали...",f,,,,f,f,,,22.25,9.88888888888889
"У нас здесь в деревне была такая пожилая женщина - как начнут семена засыпать - уже в колхозе были - в амбары, она всегда какие-то заговоры знала, говорили: ""Надо пригласить"". Эту старушку приглашали. Она уж сама про себя, не вслух [говорила]",f,,,,m,m,,,37.0,12.333333333333334
"[При жатве]
Захватаем руку, што опухнет - давали ниточцки [руку обвязывали]",f,,,,m,f,,,6.0,6.0
"[Что делали, чтоб хороший урожай-то был?]А не знаю, ведь уж чё-нибудь приговарили.[А чтоб руки не болели?] Так руки не болели дак тоже были от такие стары бабки да спина, дак вот какую-то они молитвы прочитают да опояшут. Ниточку такую завяжут[вокруг поясницы?]да...",f,,,,f,m,,,8.25,8.25
"[Чтобы спина не болела обвязывались первой вязочкой?] Обвязывались, да слова говорили. [А ниточку повязывали?] Ниточку, грят, захватываешь руку, дак завязывают.",f,,,,f,f,,,3.3333333333333335,5.0
"А сноп последний, оставляли, домой приносили. Вот в угол красный ставили. Вот он этот сноп-то стоит. [...]Ну вот не в чисту там, а на кухне, в угол поставят, поди икону, ве*дь иконы-то везде, в каждом углу были. [Не говорили, что это ""борода""?] Да вот борода-то это и есть.",f,,,,m,m,,,14.666666666666666,8.8
"Приносили последний сноп. Небольшой принесут. Бородой называли, ставили в большой угол. [Долго ли он стоял?] Кто ево знает.",f,,,,m,f,,,7.0,3.5
"Соломату готовили. Вот, говорят соломата, картошки наварят, напекут да...",f,,,,m,m,,,9.0,4.5
Стрекозу коромыслом называют часто,m,,,,f,f,,,4.0,4.0
"Я помню это у меня мама это делала... А мама вот валенницы у нас валили, весной, осенью, нарубит, нарубит от такую полосу, возьмёт в лисе там... Настелит чево-то навалит. Вот весной оно по просохнет и она пойдёт валить, валить пойдёт и вот сеять лён потом, сгорит это комьё, она от всё уберёт, приберёт ... и всё станет это, семя-то вот лён от яйцо бросает - ""стань высоко - это яйцо летит, то длинный лён рости"".",f,,,,f,,,,80.0,16.0
"На дороге не ставили домов. Есть такие места, што дома ставят, штобы сосед соседа не видел.",m,,,,m,m,,,16.0,8.0
"[Где нельзя дом строить?] Дак раньше... на проездном месте, где-ка ездят, дак на том месте не строили. [Почему?] А всё говорят, што пугать будет. [Кто?] А поди знай! Домовой. [На месте церкви] тоже нельзя. Жить, говорят, не будут в этом доме, будут умирать. [А на месте пожара?] На месте пожара ставят. [Если раньше здесь был дом, в котором случались несчастья?] Нет, это место обегали. На это место не ставили. [А на месте, где кости нашли?] А где кости нашли, там не ставили.",f,,,,m,f,,,6.142857142857143,4.777777777777778
"[Дом] на перекрёстках не строили... [А на месте сгоровшего дома?] Говорят, нельзя построить на горелом-то доме. Надо уж на другом месте. Ближе или дальше.",f,,,,f,f,,,7.0,4.666666666666667
"[А можно было на старом перекрёстке дом строить?] На перекрёстке... нельзя ставить. Есть люди, выбирают место...",f,,,,f,f,,,4.5,3.0
"[Можно строить дома на месте, где стояла церковь?] Нет, не будет стоять.",m,,,,f,f,,,2.0,4.0
"Например, вот у нас тут есть дом. Говорят, что в этом доме вопще не везёт, вот, что мать, кажется, уже четырёх сыновей похоронила, что дак, вопще, что дом очень невезучий. Что если этот уберут, дак и надеюсь что друг по другу передают, что на это место больше никто не построится.",f,,,,f,f,,,52.0,17.333333333333332
"[Где нельзя было строить дом? - на месте часовни] доник разворотили часовню, на этом месте построили, так там паралич взял одново и он долго жил, ходил, только говорил не поймёшь чево.",f,,,,m,f,,,23.0,23.0
"Где, говорят, дорога, на дорогах нельзя строить [дом], што ходят все - ходили всё плохо на дороге.",f,,,,m,,,,15.0,15.0
"Где церква была или часовня была, на том месте дома нельзя строить... А то будут пугать. [Кто?] Какая-то нечистая сила будет водить.",f,,,,f,f,,,10.5,7.0
На старой дороге [домов] не ставили.,m,,,,m,,,,5.0,5.0
"На перекрёстках, вот, нельзя было у дорог строить, где раньше была дорога, заросла. Они поставили дом первый и сгорел дом.",f,,,,f,f,f,,21.0,10.5
"Что вот после пожара, дак нельзя на это место ставить, что вот хоть метра на два, на три, а надо сдвинуться.",f,,,,f,m,,,21.0,21.0
"[Где дом строили?] а где захочут. [А дом можно строить, где пожар был?] [Можно]. [Из осины можно строить дом] нет из осины не строили. Вот полы делали...",f,,,,f,f,,,3.6666666666666665,2.75
[Могут дом испортить?] Есть ведь народ такой.,f,,,,f,m,,,2.0,4.0
"[Могли ли порчу строители нанести на дом?] Это зависит от тово как ращитаешься. Если ращитаешься нормально, ничево не будет. А если нем, подвох какой-нибудь сделают. С печкой что-нибудь делают, что дым не пойдёт.",m,,,,f,f,,,13.5,6.75
"[Можно испортить дом?] Можно, на[зарице-?] было, у нас Осипов дружок был. Это хорошо знаю. Наверно, плотникам плохо он уплатил, вот они, наверно, ему и сделали. Как двенадцать часов, под полом примерно, раньше дома высокие были, надо спать ложица, а там свист, там что делаитси, свету преставление. Крик, свист, все гуляют, гулянка у них. Черти там или кто-ли, не знаю. Ну и что, житья-то никакого нету, там что делаитси под полом. Он ходил тоже, к знаткам ходил, всё, кто знает. И ему сказали: четыре клина вычесать, когда это начнётся, беситься тамо, сразу туды вскакивайте* и все в четыре угла надо забить. И пришлось ему это сделать - и всё пропало, все тихо стало.",f,,,,m,f,,,36.333333333333336,9.909090909090908
"[А в Вербное воскресенье, чтобы курица неслась, что-нибудь делали?] Да ходили хлыстали их: Верба вербись, курица кладись с ... ден до Христова дни. [ветками вербы]",f,,,,m,f,,,6.5,6.5
"Мы поехали с этой деревни... вот мы пошли и впереди идёт женщина, идёт в белом платке, такая кофточка вот до сих пор, в юбке, идёт впереди нас, а мы ещё там на горочке - с горочки спускаешься ручей, а потом надо подниматься на горочку, мы поднялись, и она идёт и идёт впереди нас, а всево в деревне было две женщины там, две, и то, они нас провожали, кто из этой деревни в шесть часов утра должен был идти по ягоды? А мы идём и говорим: ""Ну, кто то по ягоды пошёл"", - а сами не можем допенькать, кто должен идти по ягоды тут. Потом дошли до этово, там у нас есть такое место, Грязное называется... и вот эта женщина свернула и пошла по столбам, по телеграфным, пошла и пошла. Мы до тово места доходим, - никаково следа нету. Это утро уже, шесть часов, ведь должен быть и след уже, - трава, такая дак кто-то прошёл - никакой следы нету. Женщина впереди нас исчезла... И вот после этово в этом доме так никто и не живёт [из которого они уезжали], а женщина похожа как бабушка моя сзади, она бабушка, действительно, как хозяйка в этом доме была. Но она уже умерла, давно, эта бабушка, я ещё маленькая была, она, умерла... Я её как помню в этом белом платке... [А домовой-то?] Вот, это, говорят, хозяйка, дом-то вот берегла, а вот как ушла, всё и разрушилось.",f,,,,m,f,,,96.5,19.3
